證券代號,市值佔 大盤比重,排行,證券名稱
2903,0.0579%,192,遠百
2904,0.0029%,908,匯僑
2905,0.0253%,361,三商
2906,0.0072%,715,高林
2908,0.0191%,431,特力
2910,0.0116%,584,統領
2911,0.0025%,926,麗嬰房
2912,0.5424%,32,統一超
2913,0.0383%,275,農林
2915,0.128%,116,潤泰全
2923,0.0784%,152,鼎固-KY
2929,0.0022%,941,淘帝-KY
2939,0.0025%,925,凱羿-KY
2945,0.0052%,800,三商家購
3002,0.0026%,924,歐格
3003,0.0229%,383,健和興
3004,0.0094%,651,豐達科
3005,0.0768%,155,神基
3006,0.0417%,257,晶豪科
3008,0.5429%,31,大立光
3010,0.0357%,291,華立
3011,0.0074%,708,今皓
3013,0.0134%,539,晟銘電
3014,0.0465%,234,聯陽
3015,0.0174%,454,全漢
3016,0.0355%,293,嘉晶
3017,0.2308%,74,奇鋐
3019,0.0335%,303,亞光
3021,0.0038%,876,鴻名
3022,0.0271%,348,威強電
3023,0.1504%,101,信邦
3024,0.0093%,652,憶聲
3025,0.0063%,759,星通
3026,0.0302%,321,禾伸堂
3027,0.0089%,666,盛達
3028,0.0129%,558,增你強
3029,0.0195%,428,零壹
3030,0.0269%,350,德律
3031,0.0058%,775,佰鴻
3032,0.0129%,557,偉訓
3033,0.0274%,346,威健
3034,0.4825%,36,聯詠
3035,0.1515%,100,智原
3036,0.1137%,127,文曄
3037,0.5262%,33,欣興
3038,0.0111%,600,全台
3040,0.0035%,888,遠見
3041,0.0069%,734,揚智
3042,0.0512%,212,晶技
3043,0.0026%,923,科風
3044,0.1661%,93,健鼎
3045,0.6213%,26,台灣大
3046,0.0106%,615,建碁
3047,0.0066%,746,訊舟
3048,0.0117%,583,益登
3049,0.0163%,471,和鑫
3050,0.0042%,849,鈺德
3051,0.0079%,696,力特
3052,0.0055%,787,夆典
3054,0.0031%,901,立萬利
3055,0.0083%,683,蔚華科
3056,0.0259%,356,總太
3057,0.0024%,930,喬鼎
3058,0.007%,719,立德
3059,0.0186%,439,華晶科
3060,0.0052%,799,銘異
3062,0.013%,551,建漢
3090,0.0182%,444,日電貿
3092,0.0082%,692,鴻碩
3094,0.0047%,826,聯傑
3130,0.0126%,563,一零四
3138,0.0125%,564,耀登
3149,0.0058%,774,正達
3164,0.004%,866,景岳
3167,0.006%,769,大量
3189,0.088%,144,景碩
3209,0.0162%,474,全科
3229,0.001%,964,晟鈦
3231,0.7674%,20,緯創
3257,0.013%,552,虹冠電
3266,0.0092%,657,昇陽
3296,0.0029%,907,勝德
3305,0.0171%,461,昇貿
3308,0.0051%,807,聯德
3311,0.0038%,873,閎暉
3312,0.0069%,730,弘憶股
3338,0.0112%,597,泰碩
3346,0.0105%,621,麗清
3356,0.0087%,673,奇偶
3376,0.0298%,325,新日興
3380,0.0445%,243,明泰
3406,0.0828%,149,玉晶光
3413,0.0307%,319,京鼎
3416,0.0199%,424,融程電
3419,0.0043%,842,譁裕
3432,0.0015%,956,台端
3437,0.0049%,818,榮創
3443,0.4098%,44,創意
3447,0.0067%,742,展達
3450,0.013%,554,聯鈞
3454,0.0304%,320,晶睿
3481,0.2976%,60,群創
3501,0.0109%,604,維熹
3504,0.0144%,515,揚明光
3515,0.0577%,194,華擎
3518,0.0061%,765,柏騰
3528,0.0067%,743,安馳
3530,0.0118%,580,晶相光
3532,0.1157%,124,台勝科
3533,0.1553%,99,嘉澤
3535,0.0028%,912,晶彩科
3543,0.0037%,879,州巧
3545,0.0289%,334,敦泰
3550,0.0027%,918,聯穎
3557,0.0087%,674,嘉威
3563,0.0185%,441,牧德
3576,0.0542%,203,聯合再生
3583,0.0379%,277,辛耘
3588,0.0063%,757,通嘉
3591,0.007%,726,艾笛森
3592,0.0468%,232,瑞鼎
3593,0.0015%,955,力銘
3596,0.0598%,186,智易
3605,0.0076%,701,宏致
3607,0.0039%,871,谷崧
3617,0.0371%,281,碩天
3622,0.01%,633,洋華
3645,0.0122%,569,達邁
3652,0.0044%,841,精聯
3653,0.1358%,112,健策
3661,0.2692%,66,世芯-KY
3665,0.0923%,141,貿聯-KY
3669,0.0065%,749,圓展
3673,0.0298%,326,TPK-KY
3679,0.0097%,645,新至陞
3682,0.034%,301,亞太電
3686,0.0019%,949,達能
3694,0.0084%,680,海華
3701,0.0262%,354,大眾控
3702,0.1583%,96,大聯大
3703,0.0413%,259,欣陸
3704,0.0407%,262,合勤控
3705,0.0218%,399,永信
3706,0.1062%,133,神達
3708,0.0162%,473,上緯投控
3711,0.9365%,15,日月光投控
3712,0.0154%,494,永崴投控
3714,0.0633%,181,富采
3715,0.0163%,472,定穎投控
4104,0.0253%,363,佳醫
4106,0.0058%,777,雃博
4108,0.0083%,685,懷特
4119,0.0207%,412,旭富
4133,0.0038%,874,亞諾法
4137,0.0282%,341,麗豐-KY
4142,0.0282%,342,國光生
4148,0.0064%,755,全宇生技-KY
4155,0.007%,724,訊映
4164,0.0184%,442,承業醫
4190,0.0088%,668,佐登-KY
4306,0.018%,450,炎洲
4426,0.0068%,738,利勤
4438,0.0239%,373,廣越
4439,0.0115%,589,冠星-KY
4440,0.0036%,885,宜新實業
4526,0.0097%,644,東台
4532,0.0224%,391,瑞智
4536,0.029%,332,拓凱
4540,0.0069%,731,全球傳動
4545,0.0044%,840,銘鈺
4551,0.03%,323,智伸科
4552,0.0069%,732,力達-KY
4555,0.007%,723,氣立
4557,0.0081%,694,永新-KY
4560,0.0049%,820,強信-KY
4562,0.0026%,920,穎漢
4564,0.01%,632,元翎
4566,0.009%,661,時碩工業
4571,0.0072%,717,鈞興-KY
4572,0.0132%,545,駐龍
4576,0.0157%,486,大銀微系統
4581,0.0042%,847,光隆精密-KY
4583,0.0367%,285,台灣精銳
4720,0.0029%,910,德淵
4722,0.0068%,739,國精化
4737,0.0085%,679,華廣
4739,0.0169%,464,康普
4746,0.0228%,385,台耀
4755,0.029%,333,三福化
4763,0.1319%,114,材料-KY
4764,0.0074%,710,雙鍵
4766,0.0406%,263,南寶
4770,0.0477%,226,上品
4807,0.0013%,960,日成-KY
4904,0.4327%,37,遠傳
4906,0.0237%,375,正文
4912,0.0099%,638,聯德控股-KY
4915,0.0554%,200,致伸
4916,0.007%,725,事欣科
4919,0.1099%,130,新唐
4927,0.022%,395,泰鼎-KY
4930,0.0039%,870,燦星網
4934,0.0148%,508,太極
4935,0.0123%,568,茂林-KY
4938,0.381%,48,和碩
4942,0.0104%,625,嘉彰
4952,0.0101%,631,凌通
4956,0.003%,903,光鋐
4958,0.186%,86,臻鼎-KY
4960,0.0133%,541,誠美材
4961,0.0492%,220,天鈺
4967,0.0083%,686,十銓
4968,0.0271%,349,立積
4976,0.0112%,596,佳凌
4977,0.0136%,531,眾達-KY
4989,0.0087%,672,榮科
4994,0.009%,662,傳奇
4999,0.0049%,819,鑫禾
5007,0.0316%,314,三星
5203,0.0153%,495,訊連
5215,0.0056%,783,科嘉-KY
5222,0.0228%,384,全訊
5225,0.0057%,778,東科-KY
5234,0.0255%,358,達興材料
5243,0.0225%,390,乙盛-KY
5244,0.004%,860,弘凱
5258,0.0245%,369,虹堡
5269,0.1275%,117,祥碩
5283,0.0156%,489,禾聯碩
5284,0.0119%,579,jpp-KY
5285,0.0152%,499,界霖
5288,0.0222%,392,豐祥-KY
5306,0.0364%,286,桂盟
5388,0.0591%,189,中磊
5434,0.0633%,180,崇越
5469,0.0491%,221,瀚宇博
5471,0.0145%,514,松翰
5484,0.0035%,890,慧友
5515,0.0068%,741,建國
5519,0.009%,660,隆大
5521,0.0066%,748,工信
5522,0.0839%,148,遠雄
5525,0.0129%,555,順天
5531,0.0188%,436,鄉林
5533,0.0098%,640,皇鼎
5534,0.0432%,247,長虹
5538,0.0131%,546,東明-KY
5546,0.0059%,772,永固-KY
5607,0.0353%,295,遠雄港
5608,0.0142%,521,四維航
5706,0.011%,603,鳳凰
5871,0.6157%,27,中租-KY
5876,0.4005%,45,上海商銀
5880,0.7702%,19,合庫金
5906,0.004%,859,台南-KY
5907,0.0053%,794,大洋-KY
6005,0.0648%,178,群益證
6024,0.0171%,460,群益期
6108,0.0052%,796,競國
6112,0.0165%,467,邁達特
6115,0.0159%,481,鎰勝
6116,0.0764%,156,彩晶
6117,0.0044%,839,迎廣
6120,0.0207%,411,達運
6128,0.008%,695,上福
6133,0.0036%,883,金橋
6136,0.0041%,856,富爾特
6139,0.0334%,306,亞翔
6141,0.0037%,880,柏承
6142,0.0051%,806,友勁
6152,0.0032%,897,百一
6153,0.0256%,357,嘉聯益
6155,0.0046%,834,鈞寶
6164,0.0022%,939,華興
6165,0.0031%,902,浪凡
6166,0.0293%,328,凌華
6168,0.0089%,664,宏齊
6176,0.1048%,134,瑞儀
6177,0.023%,380,達麗
6183,0.0184%,443,關貿
6184,0.0149%,507,大豐電
6189,0.018%,447,豐藝
6191,0.0455%,239,精成科
6192,0.0145%,513,巨路
6196,0.0521%,207,帆宣
6197,0.0154%,493,佳必琪
6201,0.0082%,688,亞弘電
6202,0.0293%,329,盛群
6205,0.0092%,655,詮欣
6206,0.018%,448,飛捷
6209,0.0092%,654,今國光
6213,0.0538%,204,聯茂
6214,0.0598%,185,精誠
6215,0.0042%,846,和椿
6216,0.005%,808,居易
6224,0.0093%,653,聚鼎
6226,0.0023%,935,光鼎
6230,0.0276%,344,尼得科超眾
6235,0.0417%,255,華孚
6239,0.1569%,97,力成
6243,0.0033%,894,迅杰
6257,0.0452%,240,矽格
6269,0.0561%,198,台郡
6271,0.0474%,228,同欣電
6277,0.019%,434,宏正
6278,0.0494%,217,台表科
6281,0.0157%,484,全國電
6282,0.0762%,158,康舒
6283,0.0083%,687,淳安
6285,0.087%,145,啟碁
6288,0.0111%,598,聯嘉
6405,0.0033%,895,悅城
6409,0.2872%,62,旭隼
6412,0.0776%,153,群電
6414,0.0588%,190,樺漢
6415,0.2358%,72,矽力*-KY
6416,0.0122%,570,瑞祺電通
6426,0.005%,809,統新
6431,0.0018%,950,光麗-KY
6438,0.0158%,483,迅得
6442,0.0092%,656,光聖
6443,0.0299%,324,元晶
6449,0.0105%,619,鈺邦
6451,0.0204%,417,訊芯-KY
6456,0.0427%,249,GIS-KY
6464,0.0213%,406,台數科
6477,0.0106%,617,安集
6491,0.0554%,199,晶碩
6504,0.0105%,618,南六
6505,1.4287%,8,台塑化
6515,0.0505%,215,穎崴
6525,0.0173%,457,捷敏-KY
6531,0.1155%,125,愛普*
6533,0.0434%,246,晶心科
6550,0.0699%,165,北極星藥業-KY
6552,0.0056%,784,易華電
6558,0.0041%,857,興能高
6573,0.0023%,936,虹揚-KY
6579,0.0632%,182,研揚
6581,0.0187%,437,鋼聯
6582,0.0105%,620,申豐
6585,0.0104%,626,鼎基
6591,0.0034%,891,動力-KY
6592,0.1504%,102,和潤企業
6598,0.0039%,872,ABC-KY
6605,0.0343%,298,帝寶
6606,0.0054%,793,建德工業
6625,0.0077%,700,必應
6641,0.0033%,893,基士德-KY
6655,0.017%,462,科定
6666,0.007%,727,羅麗芬-KY
6668,0.0055%,785,中揚光
6669,0.582%,28,緯穎
6670,0.0496%,216,復盛應用
6671,0.0046%,833,三能-KY
6672,0.0111%,599,騰輝電子-KY
6674,0.0036%,884,鋐寶科技
6689,0.018%,449,伊雲谷
6691,0.0462%,236,洋基工程
6695,0.0068%,740,芯鼎
6698,0.0043%,843,旭暉應材
6706,0.0096%,647,惠特
6715,0.0139%,526,嘉基
6719,0.0373%,280,力智
6743,0.0157%,485,安普新
6753,0.024%,372,龍德造船
6754,0.0064%,756,匯僑設計
6756,0.0295%,327,威鋒電子
6768,0.0235%,376,志強-KY
6770,0.2278%,75,力積電
6776,0.0087%,671,展碁國際
6781,0.1104%,128,AES-KY
6782,0.0214%,405,視陽
6789,0.1361%,111,采鈺
6790,0.0191%,433,永豐實
6792,0.0082%,689,詠業
6796,0.0073%,711,晉弘
6799,0.0105%,622,來頡
6806,0.0422%,254,森崴能源
6807,0.0029%,911,峰源-KY
6830,0.0165%,466,汎銓
6834,0.0043%,845,天二科技
6835,0.0054%,792,圓裕
6854,0.022%,396,錼創科技-KY創
6861,0.0085%,678,睿生光電
6863,0.0218%,398,永道-KY
6869,0.0202%,420,雲豹能源-創
6873,0.0227%,387,泓德能源-創
8011,0.0049%,821,台通
8016,0.0494%,218,矽創
8021,0.009%,663,尖點
8028,0.0174%,456,昇陽半導體
8033,0.0164%,468,雷虎
8039,0.0164%,469,台虹
8046,0.2997%,58,南電
8070,0.0396%,267,長華*
8072,0.0041%,858,陞泰
8081,0.0328%,309,致新
8103,0.006%,770,瀚荃
8104,0.0055%,786,錸寶
8105,0.0134%,540,凌巨
8110,0.0141%,522,華東
8112,0.0387%,271,至上
8114,0.0159%,482,振樺電
8131,0.0335%,305,福懋科
8150,0.0486%,222,南茂
8163,0.023%,379,達方
8201,0.0027%,919,無敵
8210,0.0458%,237,勤誠
8213,0.022%,397,志超
8215,0.0251%,364,明基材
8222,0.0063%,758,寶一
8249,0.0078%,699,菱光
8261,0.0146%,512,富鼎
8271,0.0115%,590,宇瞻
8341,0.0328%,308,日友
8367,0.007%,728,建新國際
8374,0.0053%,795,羅昇
8404,0.0131%,547,百和興業-KY
8411,0.0062%,762,福貞-KY
8422,0.0392%,268,可寧衛
8429,0.0036%,882,金麗-KY
8438,0.0037%,881,昶昕
8442,0.0097%,646,威宏-KY
8443,0.0015%,957,阿瘦
8454,0.2448%,71,富邦媒
8462,0.0227%,386,柏文
8463,0.0072%,716,潤泰材
8464,0.1781%,90,億豐
8466,0.0061%,763,美吉吉-KY
8467,0.0059%,771,波力-KY
8473,0.0082%,690,山林水
8478,0.0946%,139,東哥遊艇
8481,0.0067%,744,政伸
8482,0.0139%,525,商億-KY
8488,0.0023%,938,吉源-KY
8499,0.0099%,639,鼎炫-KY
8926,0.0702%,163,台汽電
8940,0.0033%,896,新天地
8996,0.0568%,196,高力
9802,0.0446%,242,鈺齊-KY
9902,0.0023%,937,台火
9904,0.1722%,91,寶成
9905,0.0141%,523,大華
9906,0.0088%,669,欣巴巴
9907,0.0526%,205,統一實
9908,0.0317%,313,大台北
9910,0.3496%,53,豐泰
9911,0.0261%,355,櫻花
9912,0.0011%,961,偉聯
9914,0.1211%,119,美利達
9917,0.0924%,140,中保科
9918,0.0139%,524,欣天然
9919,0.007%,729,康那香
9921,0.1701%,92,巨大
9924,0.0151%,500,福興
9925,0.0291%,331,新保
9926,0.018%,451,新海
9927,0.0167%,465,泰銘
9928,0.0021%,944,中視
9929,0.002%,945,秋雨
9930,0.0241%,371,中聯資源
9931,0.0086%,675,欣高
9933,0.0605%,184,中鼎
9934,0.0103%,627,成霖
9935,0.0061%,764,慶豐富
9937,0.0405%,264,全國
9938,0.0323%,310,百和
9939,0.0579%,193,宏全
9940,0.04%,266,信義
9941,0.1943%,84,裕融
9942,0.0231%,377,茂順
9943,0.0207%,413,好樂迪
9944,0.0043%,844,新麗
9945,0.2104%,82,潤泰新
9946,0.0087%,670,三發地產
9955,0.0046%,832,佳龍
9958,0.07%,164,世紀鋼
